Company Common Name,P/E (Daily Time Series Ratio),TRBC Industry Group Name,Date,Spot:BID,Spot:ASK,%,%
Shanghai Zhongyida Co Ltd,33.83,Machinery|Tools| Heavy Vehicles| Trains & Ships,42444,15.4,15.41,-0.129617628,-0.129701686
AVIC Heavy Machinery Co Ltd,73.55,Machinery|Tools| Heavy Vehicles| Trains & Ships,42444,15,15.01,-0.066577896,0.066711141
Aluminum Corp of China Ltd,NULL,Metals & Mining,42444,4.34,4.35,-2.466367713,-2.471910112
Chifeng Jilong Gold Mining Co Ltd,56.12,Automobiles & Auto Parts,42444,17.16,17.18,-10.14644351,-10.20408163
ZTE Corp,18.11,Communications & Networking,,0,0,#N/A,#N/A
Western Region Gold Co Ltd,252.7,Metals & Mining,42444,22.38,22.39,-7.973695027,-7.939119704
Shanghai Qiangsheng Holding Co Ltd,73.14,Passenger Transportation Services,42444,13.24,13.25,0,0
CRRC Corp Ltd,27.41,Machinery|Tools| Heavy Vehicles| Trains & Ships,42444,10.21,10.22,-1.446480231,-1.447876448
China Railway Group Ltd,16.17,Construction & Engineering,42444,7.97,7.98,-0.746268657,-0.747198007
China Railway Construction Corp Ltd,11.26,Construction & Engineering,42444,10.92,10.93,0.091575092,0.091659028
Power Construction Corp of China Ltd,12.67,Construction & Engineering,42444,6.43,6.44,0.31152648,0.31201248
Guosen Securities Co Ltd,8.84,Investment Banking & Investment Services,42444,14.52,14.53,0,0
China Avionics Systems Co Ltd,73.73,Aerospace & Defense,42444,18.02,18.03,-1.74386921,-1.744820065
Nanning Sugar Industry Co Ltd,NULL,Food & Tobacco,42444,16.8,16.81,-0.059453032,0
COFCO Tunhe Co Ltd,358.92,Food & Tobacco,42444,11.48,11.49,-0.605536332,-0.606060606
Zhonghang Heibao Co Ltd,NULL,Automobiles & Auto Parts,42444,11.37,11.38,-4.128053917,-4.13153457
BYD Co Ltd,65.82,Automobiles & Auto Parts,42444,54.45,54.46,0,0
China Minsheng Banking Corp Ltd,7.17,Banking Services,42444,9.15,9.16,1.327433628,1.328903654
China Citic Bank Corp Ltd,6.63,Banking Services,42444,5.91,5.92,1.54373928,1.546391753
ZTE Corp,18.11,Communications & Networking,,0,0,#N/A,#N/A
Western Region Gold Co Ltd,252.7,Metals & Mining,42444,22.38,22.39,-7.973695027,-7.939119704
Shanghai Qiangsheng Holding Co Ltd,73.14,Passenger Transportation Services,42444,13.24,13.25,0,0
CRRC Corp Ltd,27.41,Machinery|Tools| Heavy Vehicles| Trains & Ships,42444,10.21,10.22,-1.446480231,-1.447876448
China Railway Group Ltd,16.17,Construction & Engineering,42444,7.97,7.98,-0.746268657,-0.747198007
China Railway Construction Corp Ltd,11.26,Construction & Engineering,42444,10.92,10.93,0.091575092,0.091659028
Power Construction Corp of China Ltd,12.67,Construction & Engineering,42444,6.43,6.44,0.31152648,0.31201248
Guosen Securities Co Ltd,8.84,Investment Banking & Investment Services,42444,14.52,14.53,0,0
China Avionics Systems Co Ltd,73.73,Aerospace & Defense,42444,18.02,18.03,-1.74386921,-1.744820065
Nanning Sugar Industry Co Ltd,NULL,Food & Tobacco,42444,16.8,16.81,-0.059453032,0
COFCO Tunhe Co Ltd,358.92,Food & Tobacco,42444,11.48,11.49,-0.605536332,-0.606060606
Zhonghang Heibao Co Ltd,NULL,Automobiles & Auto Parts,42444,11.37,11.38,-4.128053917,-4.13153457
BYD Co Ltd,65.82,Automobiles & Auto Parts,42444,54.45,54.46,0,0
China Minsheng Banking Corp Ltd,7.17,Banking Services,42444,9.15,9.16,1.327433628,1.328903654
China Citic Bank Corp Ltd,6.63,Banking Services,42444,5.91,5.92,1.54373928,1.546391753
ZTE Corp,18.11,Communications & Networking,,0,0,#N/A,#N/A
Western Region Gold Co Ltd,252.7,Metals & Mining,42444,22.38,22.39,-7.973695027,-7.939119704
Shanghai Qiangsheng Holding Co Ltd,73.14,Passenger Transportation Services,42444,13.24,13.25,0,0
CRRC Corp Ltd,27.41,Machinery|Tools| Heavy Vehicles| Trains & Ships,42444,10.21,10.22,-1.446480231,-1.447876448
China Railway Group Ltd,16.17,Construction & Engineering,42444,7.97,7.98,-0.746268657,-0.747198007
China Railway Construction Corp Ltd,11.26,Construction & Engineering,42444,10.92,10.93,0.091575092,0.091659028
Power Construction Corp of China Ltd,12.67,Construction & Engineering,42444,6.43,6.44,0.31152648,0.31201248
Guosen Securities Co Ltd,8.84,Investment Banking & Investment Services,42444,14.52,14.53,0,0
China Avionics Systems Co Ltd,73.73,Aerospace & Defense,42444,18.02,18.03,-1.74386921,-1.744820065
Nanning Sugar Industry Co Ltd,NULL,Food & Tobacco,42444,16.8,16.81,-0.059453032,0
COFCO Tunhe Co Ltd,358.92,Food & Tobacco,42444,11.48,11.49,-0.605536332,-0.606060606
Zhonghang Heibao Co Ltd,NULL,Automobiles & Auto Parts,42444,11.37,11.38,-4.128053917,-4.13153457
BYD Co Ltd,65.82,Automobiles & Auto Parts,42444,54.45,54.46,0,0
China Minsheng Banking Corp Ltd,7.17,Banking Services,42444,9.15,9.16,1.327433628,1.328903654
China Citic Bank Corp Ltd,6.63,Banking Services,42444,5.91,5.92,1.54373928,1.546391753
